Brawler,Map,Adjusted Win Rate
GRIFF,NO SURRENDER,0.603333459
SANDY,Sneaky Fields,0.603302635
TARA,Center Stage,0.603120875
MEG,Ring of Fire,0.603038269
BARLEY,MONKEY MAZE,0.602949987
ROSA,Pinhole Punt,0.60268197
ASH,Sticky Notes,0.602615073
GRIFF,SHROUDING SERPENT,0.602606179
GROM,Undermine,0.602446435
JESSIE,Flooded Mine,0.602411512
NITA,DANGER CHAMBER,0.60239632
ROSA,Power Shot,0.602339219
LEON,Dry Season,0.602276618
JESSIE,Sneaky Fields,0.602209333
NANI,Hideout,0.602183426
COLT,MONKEY MAZE,0.602087171
NITA,Slalom Slam,0.602028996
GROM,Shooting Star,0.601933618
ASH,WARRIOR'S WAY,0.601788929
LOLA,Sticky Notes,0.601745327
GROM,Dark Fantasies,0.601743617
TARA,Binary Coding,0.601734406
BULL,DANGER CHAMBER,0.601713326
SANDY,Power Shot,0.601570795
FRANK,Split,0.601465698
DARRYL,Sneaky Fields,0.601439253
GROM,Junk Park,0.601284136
FRANK,Pinhole Punt,0.601279182
SHELLY,NO SURRENDER,0.601160832
TARA,DANGER CHAMBER,0.600997499
EMZ,Night at the Museum,0.600615236
FRANK,Sneaky Fields,0.600603907
SPIKE,NO SURRENDER,0.60057365
LEON,NO SURRENDER,0.600342633
LOLA,Center Stage,0.600320936
JACKY,Pinhole Punt,0.600273639
SHELLY,Lit Match,0.600239623
JESSIE,Gem Fort,0.600220254
FRANK,Power Shot,0.600216354
MEG,MONKEY MAZE,0.600057242
GENE,NO SURRENDER,0.599987175
JACKY,Field Goal,0.599788692
GRIFF,Center Stage,0.599771443
TARA,Pinhole Punt,0.59974516
FRANK,Super Stadium,0.599704963
ROSA,MONKEY MAZE,0.599590525
MEG,DANGER CHAMBER,0.599562173
MEG,TIGER TRAP,0.599362585
SANDY,Slalom Slam,0.599267371
TARA,Pinball Dreams,0.599258906
GALE,Robo Ring,0.599239406
SANDY,Super Stadium,0.599173593
GRIFF,Pinball Dreams,0.599127267
GROM,Hard Rock Mine,0.599069846
PIPER,NO SURRENDER,0.598852801
COLT,DANGER CHAMBER,0.598677232
LOLA,Triple Dribble,0.598653961
NITA,WARRIOR'S WAY,0.598597837
ROSA,Cotton Candy Dreams,0.598539322
